Question title,Question text,Topic,answerText,split
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,"إذا اعتقد الجميع أنك عديم القيمة ، فربما تحتاج إلى العثور على أشخاص جدد للتسكع معهم. بجدية ، فإن السياق الاجتماعي الذي يعيش فيه الشخص له تأثير كبير في احترام الذات ، وإلا يمكنك الذهاب في جولة ومحاولة القيام بذلك. افهم لماذا أنت لست عديم القيمة ، ثم ارجع إلى نفس الحشد وسقطت مرة أخرى. هناك العديد من الرسائل الملهمة التي يمكنك العثور عليها في وسائل التواصل الاجتماعي. ربما تقرأ بعضًا من تلك التي تنص على أنه لا يوجد شخص لا قيمة له ، وأن لكل شخص هدفًا جيدًا لحياته أيضًا ، نظرًا لأن ثقافتنا مشبعة جدًا بالاعتقاد أنه إذا لم يشعر شخص ما بالرضا عن نفسه ، فهذا بطريقة ما فظيع المشاعر السيئة جزء من الحياة. إنها الدافع لإبعاد أنفسنا عن المواقف والعلاقات التي تضرنا أكثر مما تنفعنا ، فالمشاعر السيئة تشعر بالفزع. قد يكون شعورك بانعدام القيمة جيدًا من حيث تحفيزك على اكتشاف أنك أفضل بكثير من مشاعرك اليوم.",train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,"مرحبا ، وشكرا على سؤالك وطلب النصيحة في هذا الشأن. للأسف ، فإن مشاعر عدم القيمة شائعة. في الواقع ، فإن معظم الناس ، إن لم يكن جميعهم ، قد شعروا بهذا إلى حد ما في مرحلة ما من حياتهم. انت لست وحدك. تغيير مشاعرنا يشبه تغيير أفكارنا - من الصعب القيام بذلك. أذهاننا مدهشة لدرجة أنه في اللحظة التي تغير فيها أفكارك يمكن أن يكون هناك شخص آخر ليحل محلها. بدون إذنك ، يمكن أن تظهر فكرة أخرى هناك. قد يبدو الفكر الجديد أسوأ من الفكر السابق! أعتقد أنك جربت عدة أشياء لتحسين هذا بنفسك حتى قبل التواصل هنا. غالبًا ما يحاول الناس التفكير في الأفكار الإيجابية أو مناقشة أفكارهم أو إخبار أنفسهم ببساطة أنهم بحاجة إلى ""الخروج منها"" - وهي أيضًا فكرة تحمل بعض النقد الذاتي. يحاول بعض الأشخاص اتباع نهج مختلف ، وهناك مستشارون يمكنهم مساعدتك في ذلك. الفكرة هي أنه بدلاً من محاولة تغيير الأفكار ، فإنك تغير طريقة استجابتك لها. أنت تتعلم المهارات التي تسمح لك بإدارة الأفكار والمشاعر الصعبة بشكل مختلف حتى لا يكون لها نفس التأثير عليك كما تفعل الآن. بالنسبة لبعض الأشخاص ، يبدأون بالفعل في تجربة أفكار أقل إيلامًا بمجرد أن يتعلموا كيفية إدارة الأفكار التي لديهم بشكل مختلف. قد يكون علاج القبول والالتزام خيارًا جيدًا لك. هناك معلومات عبر الإنترنت وحتى كتب المساعدة الذاتية التي يمكنك استخدامها لتعليمك المهارات التي ذكرتها. لأنها مهارات تتطلب الممارسة ، لكن الكثير من الناس وجدوا راحة كبيرة وحياة غنية من خلال تعلمهم. بالنسبة للأفكار الانتحارية ، يسعدني أن أقرأ أن هذا لم يحدث لك. ومع ذلك ، يجب أن تنتبه لهذا لأنه يمكن أن يكون علامة على تفاقم الاكتئاب. إذا بدأت في التفكير في هذا الأمر ، فمن المهم الوصول إلى نظام دعم على الفور. الخط الوطني لمنع الانتحار هو 1-800-273-8255. سطر النص # 741741. آمل أن يقدم لك بعض الزملاء الآخرين المزيد من الاقتراحات. كن على ما يرام ... Robin Landwehr، DBH، LPCC",train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,أول شيء أقترحه هو الحصول على النوم الذي تحتاجه أو سيؤثر على طريقة تفكيرك وشعورك. سأبحث في العثور على ما يسير على ما يرام في حياتك وما يمكنك أن تكون ممتنًا له. أعتقد أن كل شخص لديه مواهب ويريد أن يجد هدفه في الحياة. أعتقد أنه يمكنك معرفة ذلك ببعض المساعدة.,train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,"العلاج ضروري لأولئك الذين يشعرون بالاكتئاب وعدم القيمة. عندما أعمل مع أولئك الذين يعانون من مخاوف تتعلق بالشعور بالاكتئاب وقضايا احترام الذات. أعمل بشكل عام مع موكلي للمساعدة في بناء مهارات التأقلم لتقليل مستوى الاكتئاب وللمساعدة في تعزيز احترام الذات ، من خلال توجيه عميلي بممارسات العلاج السلوكي المعرفي. يساعد العلاج السلوكي المعرفي في اكتساب وعي أفضل بكيفية تأثير عملية تفكيرك على نظام معتقداتك ، وكيف تؤثر معتقداتك على أفعالك ونتائج سلوكياتك. هذه العملية ليست سهلة ولكنها تساعد في تعليم الفرد أنه لا يمكننا دائمًا التحكم في ما يحدث في حياتنا ولكن يمكننا التحكم في كيفية تفسيرنا وشعورنا وتصرفنا. العلاج المعرفي السلوكي مفيد للأفراد الذين يتعاملون مع الاكتئاب والقلق والعلاقات السامة والتوتر واحترام الذات والاعتماد على الآخرين وما إلى ذلك.",train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,أود أولاً أن أخبرك أنك لست وحدك في مشاعرك وهناك دائمًا شخص ما لمساعدتك. يمكنك دائمًا تغيير مشاعرك وتغيير طريقة تفكيرك من خلال الانفتاح على محاولة التغيير. يمكنك دائمًا أن تجعل نفسك متاحًا لتعلم أشياء جديدة أو التطوع حتى تتمكن من تحقيق هدف لنفسك.,train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,"هيك ، شيء أكيد ، هون! إن مشاعر ""الاكتئاب"" لها قاعدة عميقة الجذور في الهياكل المادية التي قد لا تعمل بشكل جيد في الوقت الحاضر ؛ ويمكننا بالتأكيد تشغيلها مرة أخرى باستخدام الوسائل التي يمكنك العثور عليها في جميع أنحاء المنزل وبسهولة نسبية:) بعد ذلك ، سيتم تطبيق الدعم العاطفي والروحي بحرية.",train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,أنت تعرض بعض السمات المحددة لنوع معين من المزاج. ابحث عن مستشار يقدم علاجًا للمزاج من NCCA واكتشف متعة أن تكون على طبيعتك - فالله يحبك كما أنت!,train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,"هذا مكثف. الاكتئاب كاذب. أحيانًا يضع الاكتئاب هذه النظارات فوق أعيننا ، هذه النظارات الشمسية الداكنة التي تغير نظرتنا للأشياء. يخبرنا الاكتئاب بأشياء مثل ""أنت عديم القيمة"" ""لا أحد يحبك"" ""لا تقلق بشأن فعل أي شيء"". ومن السهل جدًا علينا الاستماع والخداع إلى التفكير في أنه لمجرد أننا نشعر بشيء ما يعني أنه صحيح. يرجى العلم أنه حتى لو كنت تشعر بأنك عديم القيمة الآن ، فهذا لا يعني أنك عديم القيمة ، والخطوة الأولى للعمل من خلال هذا هو التعرف على ما يجري. التعرف على الوقت الذي يخبرك فيه الاكتئاب بنفس القصة (أي: عدم القيمة) بكلمات مختلفة (على سبيل المثال ، لا قيمة لها هنا ، لا قيمة لها هناك) وتبذل جهدًا للتحدث مرة أخرى. على الرغم من أنني لا أستطيع أن أعطيك تشخيصًا للاكتئاب ، وقراءة ما تمر به ، يبدو أنك قد تحتاج إلى مساعدة للعودة إلى المسار الصحيح. يمكن أن تفتح رؤية المستشار خيارًا جديدًا تمامًا حيث يمكن لشخص غير مشارك في حياتك أن يساعدك دون إصدار حكم ومن منظور موضوعي. هذا يمكن أن يفعل المعجزات في فك هذه الأنواع من الأفكار. أتمنى لك الأفضل على الإطلاق!",train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,يبدو أنك قد تضع نفسك في المرتبة الأخيرة. لقد كتبت أنك تريد إصلاح مشاكلك ولكنك لا تتعامل معها أبدًا. أتساءل كيف تنفق طاقتك العقلية والجسدية. هل تقضي الوقت في الاعتناء بالآخرين والعمل معهم؟ أتساءل أيضًا من أين تأتي الأفكار والمشاعر المتعلقة بعدم القيمة - هل أنت حول أشخاص يعاملك معاملة سيئة أو يؤذيك؟ أو هل تشعر أن الأمر أكثر قلقًا لديك ولكنك لست متأكدًا حقًا من شعور الآخرين؟ قد يكون من المفيد التحدث إلى شخص ما عن مشاعرك - ربما مستشار - لتوضيح مشاعرك والمضي قدمًا من تلك التي تؤذيك.,train
هل يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟,"أنا أمر ببعض الأشياء بمشاعري ونفسي. بالكاد أنام ولا أفعل شيئًا سوى التفكير في كيف أني لا قيمة لي وكيف لا ينبغي أن أكون هنا. لم أحاول أبدًا الانتحار أو أفكر فيه. كنت أرغب دائمًا في إصلاح مشاكلي ، لكنني لم أتمكن من حلها أبدًا ، كيف يمكنني تغيير شعوري بأنني عديم القيمة للجميع؟",كآبة,"يجب أن يكون من الصعب حقًا تجربة ما تمر به الآن. يتطلب الأمر الكثير من الشجاعة للوصول. يبدو أنك تريد أن تتحسن ، لكن ربما تحتاج إلى بعض المساعدة للتغلب على الحدبة. تتوافق العديد من الأعراض التي وصفتها مع الشخص الذي يعاني من الاكتئاب. الاكتئاب حالة قابلة للعلاج. عادةً ، إذا استمرت هذه الأعراض لأكثر من أسبوعين ، فمن الجيد طلب المساعدة المهنية. شخص مدرب على التعامل مع الاكتئاب. في البداية ، سيتم الانتهاء من تقييم شامل لاستبعاد أي أسباب أخرى لأعراضك ولتحديد الطبيعة الدقيقة لمخاوفك الحالية. بعد ذلك ، وبالتعاون مع بعضنا البعض ، سيتم تطوير خطة علاج مصممة خصيصًا ، مع التركيز على أفضل طريقة لمساعدتك في الوصول إلى أهدافك. النبأ السار هو أن أملهم في التحسن! ليس عليك أن تفعل ذلك بمفردك. اسمح لي أن أكون حليفك في الشفاء.",train
